[DEBUG 00:41:17 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:18 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:19 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:20 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:21 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:22 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:23 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:24 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:25 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:26 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:27 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:28 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:29 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:30 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:31 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:32 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:34 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:35 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:36 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:37 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:38 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:39 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:40 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:41 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:42 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:43 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:44 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:46 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:47 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:48 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:49 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:50 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:51 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:52 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:53 sjtuautorun] ('Emulator status', '')
[DEBUG 00:41:54 sjtuautorun] ('Emulator status', '')
