[DEBUG 23:34:19 sjtuautorun] ('Emulator status', 'running')
[INFO 23:34:21 sjtuautorun] Android Connected!
[INFO 23:34:23 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:34:38 sjtuautorun] ('click:', 1759332878.5827725, 579, 55)
[DEBUG 23:34:39 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:34:41 sjtuautorun] ('click:', 1759332881.866253, 101, 186)
[INFO 23:34:42 sjtuautorun] Started successfully!
[DEBUG 23:34:46 sjtuautorun] ('click:', 1759332886.2783117, 474, 398)
[DEBUG 23:34:47 sjtuautorun] ('click:', 1759332887.7609246, 474, 398)
[DEBUG 23:34:51 sjtuautorun] ('click:', 1759332891.5066748, 481, 452)
[DEBUG 23:34:58 sjtuautorun] (121.43158213289492, 31.026862048018177)
[DEBUG 23:34:59 sjtuautorun] (121.43163388601894, 31.026892091616766)
[DEBUG 23:34:59 sjtuautorun] (121.4316582403136, 31.026894616049496)
[DEBUG 23:35:01 sjtuautorun] (121.43172941861444, 31.02690599932759)
[DEBUG 23:35:02 sjtuautorun] (121.43177632503182, 31.026934809698368)
[DEBUG 23:35:03 sjtuautorun] (121.43184657457147, 31.026945663377308)
[DEBUG 23:35:05 sjtuautorun] (121.43191717438718, 31.026974182842785)
[DEBUG 23:35:05 sjtuautorun] (121.43194094961775, 31.026987554507393)
[DEBUG 23:35:07 sjtuautorun] (121.43202906792797, 31.0269989772933)
[DEBUG 23:35:08 sjtuautorun] (121.43209150401051, 31.0270219497846)
[DEBUG 23:35:09 sjtuautorun] (121.4321242968301, 31.027036181242057)
[DEBUG 23:35:10 sjtuautorun] (121.43214673393959, 31.027048117627423)
[DEBUG 23:35:11 sjtuautorun] (121.43221118780473, 31.027072271805096)
[DEBUG 23:35:11 sjtuautorun] (121.4322378660993, 31.027072736801518)
[DEBUG 23:35:13 sjtuautorun] (121.43230307392238, 31.027090471314544)
[DEBUG 23:35:13 sjtuautorun] (121.4323299616823, 31.027091542310824)
[DEBUG 23:35:15 sjtuautorun] (121.43239435048204, 31.027124407926827)
[DEBUG 23:35:16 sjtuautorun] (121.43247446694275, 31.02714623761496)
[DEBUG 23:35:17 sjtuautorun] (121.43249420978803, 31.027156767460315)
[DEBUG 23:35:17 sjtuautorun] (121.43253010178498, 31.027163699115533)
[DEBUG 23:35:18 sjtuautorun] (121.43255587037756, 31.027172936413724)
[DEBUG 23:35:18 sjtuautorun] (121.43257070478124, 31.027184021218325)
[DEBUG 23:35:19 sjtuautorun] (121.43260275275576, 31.02720266106116)
[DEBUG 23:35:20 sjtuautorun] (121.43262702899865, 31.027192905333006)
[DEBUG 23:35:21 sjtuautorun] (121.43271221156235, 31.027222445347643)
[DEBUG 23:35:22 sjtuautorun] (121.4327371939177, 31.027231969429877)
[DEBUG 23:35:22 sjtuautorun] (121.43277055181449, 31.027240323789915)
